fishery_name,month,combined_type,hours,total_hours,prop
Hoh winter steelhead 2022-23,2023-01-01,Unguided-Bank,727.25,988.8833333333333,0.73542547991842655
Hoh winter steelhead 2022-23,2023-01-01,Unguided-Boat,6.033333333333333,988.8833333333333,0.006101157871673436
Hoh winter steelhead 2022-23,2023-02-01,Guided-Bank,1033.0166666666667,2660.083333333333,0.38833996428683315
Hoh winter steelhead 2022-23,2023-02-01,Guided-Boat,40.43333333333334,2660.083333333333,0.015200025061871498
Hoh winter steelhead 2022-23,2023-02-01,Unguided-Bank,1536.5833333333333,2660.083333333333,0.5776448106262335
Hoh winter steelhead 2022-23,2023-02-01,Unguided-Boat,50.050000000000004,2660.083333333333,0.018815200025061877
Hoh winter steelhead 2022-23,2023-03-01,Guided-Bank,1580.3833333333334,3488.133333333333,0.45307423263636715
Hoh winter steelhead 2022-23,2023-03-01,Guided-Boat,0,3488.133333333333,0
Hoh winter steelhead 2022-23,2023-03-01,Unguided-Bank,1883.75,3488.133333333333,0.5400452964336225
Hoh winter steelhead 2022-23,2023-03-01,Unguided-Boat,24,3488.133333333333,0.006880470930010321
Hoh winter steelhead 2023-24,2023-12-01,Guided-Bank,15.85,285.68333333333334,0.05548101044279797
Hoh winter steelhead 2023-24,2023-12-01,Guided-Boat,0,285.68333333333334,0
