fishery_name,month,guided_status,hours,total_hours,prop
Lower Cowlitz salmon and steelhead 2023-24,2024-02-01,Guided,1304.8166666666666,3234.6,0.4033935159422082
Lower Cowlitz salmon and steelhead 2023-24,2024-02-01,Unguided,1929.7833333333333,3234.6,0.5966064840577918
Lower Cowlitz salmon and steelhead 2023-24,2024-03-01,Guided,2406.9166666666665,4504.466666666667,0.5343399884559029
Lower Cowlitz salmon and steelhead 2023-24,2024-03-01,Unguided,2097.55,4504.466666666667,0.465660011544097
Lower Cowlitz salmon and steelhead 2023-24,2024-04-01,Guided,346.6,1395.8833333333332,0.2483015533771925
Lower Cowlitz salmon and steelhead 2023-24,2024-04-01,Unguided,1049.2833333333333,1395.8833333333332,0.7516984466228076
Lower Cowlitz salmon and steelhead 2023-24,2024-05-01,Guided,96.18333333333334,502.1,0.19156210582221336
Lower Cowlitz salmon and steelhead 2023-24,2024-05-01,Unguided,405.9166666666667,502.1,0.8084378941777867
Lower Cowlitz salmon and steelhead 2023-24,2024-06-01,Guided,708.35,1183.8,0.5983696570366617
Lower Cowlitz salmon and steelhead 2023-24,2024-06-01,Unguided,475.45,1183.8,0.4016303429633384
Lower Cowlitz salmon and steelhead 2023-24,2024-07-01,Guided,891.7666666666667,1478.0666666666666,0.6033331829867845
Lower Cowlitz salmon and steelhead 2023-24,2024-07-01,Unguided,586.3,1478.0666666666666,0.39666681701321543
Naselle winter steelhead 2022,2022-01-01,Guided,26,446.8333333333333,0.05818724356583364
Naselle winter steelhead 2022,2022-01-01,Unguided,420.8333333333333,446.8333333333333,0.9418127564341664
Naselle winter steelhead 2022,2022-02-01,Unguided,361.1,361.1,1
Naselle winter steelhead 2022-23,2022-12-01,Unguided,73.81666666666666,73.81666666666666,1
Naselle winter steelhead 2022-23,2023-01-01,Unguided,309.1166666666667,309.1166666666667,1
Naselle winter steelhead 2022-23,2023-02-01,Unguided,380.46666666666664,380.46666666666664,1
Naselle winter steelhead 2022-23,2023-03-01,Unguided,442.8833333333333,442.8833333333333,1
Naselle winter steelhead 2023-24,2023-12-01,Guided,22.75,832.2666666666667,0.027334988785645626
Naselle winter steelhead 2023-24,2023-12-01,Unguided,809.5166666666667,832.2666666666667,0.9726650112143543
Naselle winter steelhead 2023-24,2024-01-01,Unguided,414.9166666666667,414.9166666666667,1
Naselle winter steelhead 2023-24,2024-02-01,Guided,50.33333333333333,585.9666666666667,0.08589794641333408
Naselle winter steelhead 2023-24,2024-02-01,Unguided,535.6333333333333,585.9666666666667,0.9141020535866659
Naselle winter steelhead 2023-24,2024-03-01,Guided,22,405.81666666666666,0.05421167193724588
Naselle winter steelhead 2023-24,2024-03-01,Unguided,383.81666666666666,405.81666666666666,0.9457883280627541
Nooksack fall salmon 2023,2023-11-01,Unguided,111.13333333333334,111.13333333333334,1
Nooksack fall salmon 2024,2024-11-01,Unguided,148.83333333333334,148.83333333333334,1
Nooksack spring Chinook 2022,2022-05-01,Unguided,219.76666666666665,219.76666666666665,1
Nooksack spring Chinook 2022,2022-06-01,Unguided,270.0833333333333,270.0833333333333,1
Nooksack spring Chinook 2022,2022-07-01,Unguided,202.96666666666667,202.96666666666667,1
Nooksack spring Chinook 2026,2026-05-01,Unguided,980.7833333333333,980.7833333333333,1
Nooksack spring Chinook 2026,2026-06-01,Guided,46.400000000000006,649.6833333333333,0.07141940945588877
Nooksack spring Chinook 2026,2026-06-01,Unguided,603.2833333333333,649.6833333333333,0.9285805905441112
Nooksack winter gamefish 2021-22,2022-01-01,Unguided,413.8833333333333,413.8833333333333,1
Nooksack winter gamefish 2021-22,2022-02-01,Unguided,1007,1007,1
Nooksack winter gamefish 2022-23,2022-12-01,Unguided,368.46666666666664,368.46666666666664,1
Nooksack winter gamefish 2022-23,2023-01-01,Unguided,63.03333333333333,63.03333333333333,1
Nooksack winter gamefish 2022-23,2023-02-01,Guided,43.849999999999994,1358.4166666666665,0.032280228206858476
Nooksack winter gamefish 2022-23,2023-02-01,Unguided,1314.5666666666666,1358.4166666666665,0.9677197717931416
Post Quillayute winter steelhead 2023-24,2024-01-01,Guided,131.53333333333333,187.98333333333335,0.6997074208706445
Post Quillayute winter steelhead 2023-24,2024-01-01,Unguided,56.45,187.98333333333335,0.3002925791293554
Post Quillayute winter steelhead 2023-24,2024-02-01,Guided,1064.9166666666667,1950.3000000000002,0.5460271069408125
Post Quillayute winter steelhead 2023-24,2024-02-01,Unguided,885.3833333333333,1950.3000000000002,0.4539728930591874
Post Quillayute winter steelhead 2023-24,2024-03-01,Guided,1153.5166666666667,2526.4666666666667,0.45657307966329785
Post Quillayute winter steelhead 2023-24,2024-03-01,Unguided,1372.95,2526.4666666666667,0.5434269203367021
Pre Quillayute winter steelhead 2023-24,2023-12-01,Guided,77.15,236.11666666666667,0.32674525305286933
Pre Quillayute winter steelhead 2023-24,2023-12-01,Unguided,158.96666666666667,236.11666666666667,0.6732547469471306
Pre Quillayute winter steelhead 2023-24,2024-01-01,Guided,656.4333333333333,1194.4166666666665,0.5495848740668388
